Indicator Name,Income Group,Year,Median,Lower Bound,Upper Bound,Count
ANC4 Coverage,Upper-middle-income countries,2006,87.96961265,83.56032092,92.37890438,51
ANC4 Coverage,High-income countries,2007,97.15,92.03801171,102.2619883,39
ANC4 Coverage,Low-income countries,2007,55.3,36.90475907,73.69524093,25
ANC4 Coverage,Lower-middle-income countries,2007,78.5,69.24098637,87.75901363,49
ANC4 Coverage,Upper-middle-income countries,2007,88.78202632,79.77989091,97.78416173,51
ANC4 Coverage,High-income countries,2008,95.25,88.91440096,101.585599,39
ANC4 Coverage,Low-income countries,2008,52.7,30.33866805,75.06133195,25
ANC4 Coverage,Lower-middle-income countries,2008,71.95,56.78125865,87.11874135,49
ANC4 Coverage,Upper-middle-income countries,2008,89.37102622,82.17466054,96.5673919,51
ANC4 Coverage,High-income countries,2009,95.25,89.60198515,100.8980149,39
ANC4 Coverage,Low-income countries,2009,60.9,40.91283745,80.88716255,25
ANC4 Coverage,Lower-middle-income countries,2009,72.4,62.01895959,82.78104041,49
ANC4 Coverage,Upper-middle-income countries,2009,91.1,80.12141231,102.0785877,51
ANC4 Coverage,High-income countries,2010,96.1,90.69467642,101.5053236,39
ANC4 Coverage,Low-income countries,2010,43.3,25.46594199,61.13405801,25
ANC4 Coverage,Lower-middle-income countries,2010,81.4,69.04088853,93.75911147,49
ANC4 Coverage,Upper-middle-income countries,2010,91.1,81.04637594,101.1536241,51
ANC4 Coverage,High-income countries,2011,95.045,87.05145161,103.0385484,39
ANC4 Coverage,Low-income countries,2011,48,30.0720141,65.9279859,25
ANC4 Coverage,Lower-middle-income countries,2011,66.45,51.86040375,81.03959625,49
ANC4 Coverage,Upper-middle-income countries,2011,89.10245434,74.54379,103.6611187,51
ANC4 Coverage,High-income countries,2012,94.9,89.05221449,100.7477855,39
ANC4 Coverage,Low-income countries,2012,54.55,32.38711275,76.71288725,25
ANC4 Coverage,Lower-middle-income countries,2012,81.5,56.95523041,106.0447696,49
ANC4 Coverage,Upper-middle-income countries,2012,90.05,79.53140314,100.5685969,51
ANC4 Coverage,High-income countries,2013,96.3,89.52932287,103.0706771,39
ANC4 Coverage,Low-income countries,2013,51.1,26.97923242,75.22076758,25
ANC4 Coverage,Lower-middle-income countries,2013,74.9,52.58137492,97.21862508,49
ANC4 Coverage,Upper-middle-income countries,2013,87.9,76.75305288,99.04694712,51
ANC4 Coverage,High-income countries,2014,96.6,89.5215457,103.6784543,39
ANC4 Coverage,Low-income countries,2014,57.95,41.33432801,74.56567199,25
ANC4 Coverage,Lower-middle-income countries,2014,74.4,55.86419295,92.93580705,49
ANC4 Coverage,Upper-middle-income countries,2014,90.08576776,82.15342284,98.01811268,51
ANC4 Coverage,High-income countries,2015,96.1,84.94599814,107.2540019,39
ANC4 Coverage,Low-income countries,2015,43.9,28.08841845,59.71158155,25
ANC4 Coverage,Lower-middle-income countries,2015,74,64.5803692,83.4196308,49
ANC4 Coverage,Upper-middle-income countries,2015,91.93286693,86.14799086,97.717743,51
ANC4 Coverage,High-income countries,2016,96.3,88.78559535,103.8144047,39
ANC4 Coverage,Low-income countries,2016,52.2,38.00533928,66.39466072,25
ANC4 Coverage,Lower-middle-income countries,2016,71.55,54.09351092,89.00648908,49
ANC4 Coverage,Upper-middle-income countries,2016,90.8,77.34613547,104.2538645,51
ANC4 Coverage,High-income countries,2017,96.25,87.47379656,105.0262034,39
ANC4 Coverage,Low-income countries,2017,62.2,41.08153783,83.31846217,25
ANC4 Coverage,Lower-middle-income countries,2017,79.15,64.36622135,93.93377865,49
ANC4 Coverage,Upper-middle-income countries,2017,84.7,72.02427238,97.37572762,51
ANC4 Coverage,High-income countries,2018,96.9,90.68043173,103.1195683,39
ANC4 Coverage,Low-income countries,2018,43.1,27.42290114,58.77709886,25
ANC4 Coverage,Lower-middle-income countries,2018,77.35,61.5738207,93.1261793,49
ANC4 Coverage,Upper-middle-income countries,2018,83.65,71.33398659,95.96601341,51
ANC4 Coverage,High-income countries,2019,95.8,83.90059455,107.6994054,39
ANC4 Coverage,Low-income countries,2019,51,29.91785247,72.08214753,25
ANC4 Coverage,Lower-middle-income countries,2019,69.8,54.91156729,84.68843271,49
ANC4 Coverage,Upper-middle-income countries,2019,91.3,85.4484996,97.1515004,51
ANC4 Coverage,High-income countries,2020,95.7,83.76572363,107.6342764,39
ANC4 Coverage,Low-income countries,2020,53.25,33.85471799,72.64528201,25
